curve,f,R1_pred,R2_pred,height,sp1,sp2,arrays,calls,bits_in,bits_1,bits_2,units_1,and2,ext2,checks,cyc1,cyc2,cyc3,cyctot,perf_cycles
ex:241,4 4 -4 -5 -5 -4 4,2.7818720919242157e-05,8.827584771976144e-07,25000,17,26,3338896,37647,579892517,66667,35060,66162,433839,935968,362,78926514,22788020,305530,118505712,163919052
ex:241,4 4 -4 -5 -5 -4 4,2.7818720919242157e-05,6.45798734736251e-07,25000,17,30,3338896,37647,579892517,66667,29268,66162,502443,785237,276,79241224,22540734,262620,118739546,167477705
ex:241,4 4 -4 -5 -5 -4 4,7.214173376120777e-06,3.3831932743919976e-06,25000,20,22,3338896,37647,579892517,48052,44265,47821,93512,1188008,1544,93571614,20955628,984244,130309202,169642349
ex:241,4 4 -4 -5 -5 -4 4,7.214173376120777e-06,8.827584771976144e-07,25000,20,26,3338896,37647,579892517,48052,35060,47821,254319,935968,362,86918404,20955524,325816,124025998,163297548
ex:241,4 4 -4 -5 -5 -4 4,7.214173376120777e-06,6.45798734736251e-07,25000,20,30,3338896,37647,579892517,48052,29268,47821,322923,785237,276,84447638,20670956,262818,121821188,164922151
ex:241,4 4 -4 -5 -5 -4 4,2.3710468100309565e-06,8.827584771976144e-07,25000,23,26,3338896,37647,579892517,41658,35060,41477,116743,935968,362,92051092,18340246,327000,126004428,174801031
ex:241,4 4 -4 -5 -5 -4 4,2.3710468100309565e-06,6.45798734736251e-07,25000,23,30,3338896,37647,579892517,41658,29268,41477,185347,785237,276,95770724,18671328,264230,130802296,181189023
ex:241,4 4 -4 -5 -5 -4 4,8.827584771976144e-07,8.827584771976144e-07,25000,26,26,3338896,37647,579892517,35060,35060,34946,0,935968,362,100609056,12454296,306894,127396200,178495108
ex:241,4 4 -4 -5 -5 -4 4,8.827584771976144e-07,6.45798734736251e-07,25000,26,30,3338896,37647,579892517,35060,29268,34946,68604,785237,276,102624616,17572990,261300,135350214,190197491
ex:241,4 4 -4 -5 -5 -4 4,0.0007936102388103519,1.7004180782605477e-05,75000,11,18,28122480,157300,5218983614,4267755,237692,3923027,9750000,6821812,71069,302972646,473396414,31956988,853381408,1205081196
ex:241,4 4 -4 -5 -5 -4 4,0.0007936102388103519,3.3831932743919976e-06,75000,11,22,28122480,157300,5218983614,4267755,144073,3923027,10509435,3931879,13876,304507264,453248412,7886790,813009912,1157282225
