pop,curve,f,R1_pred,height,sp1,sp2,arrays,calls,bits_in,bits_1,bits_2,units_1,and2,ext2,checks,cyc1,cyc2,cyc3,cyctot,perf_cycles
rich,bc:136,62500 88300 -111275 -109202 99077 -10108 1444,0.00015666906383009468,75000,21,29,33600000,187500,8437537500,1550592,907797,1515353,4830980,28832579,581099,654554020,496730776,159923680,1371600224,2162844634
rich,bc:136,62500 88300 -111275 -109202 99077 -10108 1444,0.00012732418194724655,75000,22,30,33600000,187500,8437537500,1298759,907797,1273988,3315627,28832579,581099,690899266,472171454,163717852,1387342644,2142628511
rich,bc:136,62500 88300 -111275 -109202 99077 -10108 1444,0.0001061435996951526,75000,23,30,33600000,187500,8437537500,1110066,907797,1091838,2041639,28832579,581099,749790776,449721928,168267456,1425165900,2167836958
rich,bc:136,62500 88300 -111275 -109202 99077 -10108 1444,9.106995240116644e-05,75000,24,30,33600000,187500,8437537500,963558,907797,949801,949801,28832579,581099,734788868,410877308,168217848,1369451686,2135989228
rich,bc:136,62500 88300 -111275 -109202 99077 -10108 1444,8.602801732013301e-05,75000,25,30,33600000,187500,8437537500,907797,907797,895673,0,28832579,581099,760595066,347570094,162447222,1332217596,2075008289
rich,bc:136,62500 88300 -111275 -109202 99077 -10108 1444,8.602801732013301e-05,75000,26,30,33600000,187500,8437537500,907797,907797,895673,0,28832579,581099,764433506,349426234,161144756,1328566728,2076285945
rich,bc:136,62500 88300 -111275 -109202 99077 -10108 1444,8.602801732013301e-05,75000,27,30,33600000,187500,8437537500,907797,907797,895673,0,28832579,581099,783844460,355575036,163870462,1358379774,2082263477
rich,bc:136,62500 88300 -111275 -109202 99077 -10108 1444,8.602801732013301e-05,75000,28,30,33600000,187500,8437537500,907797,907797,895673,0,28832579,581099,786141592,354748106,164139628,1361740838,2091392589
rich,bc:136,62500 88300 -111275 -109202 99077 -10108 1444,8.602801732013301e-05,75000,29,30,33600000,187500,8437537500,907797,907797,895673,0,28832579,581099,779903734,353975670,163949142,1352857554,2074704430
rich,bc:136,62500 88300 -111275 -109202 99077 -10108 1444,8.602801732013301e-05,75000,30,30,33600000,187500,8437537500,907797,907797,895673,0,28832579,581099,798223416,363223912,167780786,1385563062,2081327456
rich,bc:1944,802022400 -4556248320 9004690000 5704997400 -7622962175 1184435670 180906625,0.06440468202605147,75000,6,14,11207408,70929,2760265458,179609499,8020911,10821422,78616904,245685455,6390095,80211174,3020167910,1469622784,4623350112,7355037267
rich,bc:1944,802022400 -4556248320 9004690000 5704997400 -7622962175 1184435670 180906625,0.04230720265234496,75000,7,15,11207408,70929,2760265458,118267513,5822049,10819323,73448287,181109708,4626318,87700312,2385489448,1077152952,3599868198,5720651356
rich,bc:1944,802022400 -4556248320 9004690000 5704997400 -7622962175 1184435670 180906625,0.028016910895125795,75000,8,16,11207408,70929,2760265458,78539145,4233632,10810623,67121133,133160281,3348501,98179798,1949303332,805381858,2907145314,4536521946
rich,bc:1944,802022400 -4556248320 9004690000 5704997400 -7622962175 1184435670 180906625,0.0185938340550515,75000,9,17,11207408,70929,2760265458,52238638,3102653,10732650,59809255,98317125,2441378,102628498,1545383176,579014972,2277521384,3660395870
rich,bc:1944,802022400 -4556248320 9004690000 5704997400 -7622962175 1184435670 180906625,0.012545237434733542,75000,10,18,11207408,70929,2760265458,35265162,2283025,10406272,51770250,72675801,1783656,111980944,1309098516,435640902,1907042528,3007062935
rich,bc:1944,802022400 -4556248320 9004690000 5704997400 -7622962175 1184435670 180906625,0.008487388302358156,75000,11,19,11207408,70929,2760265458,23938525,1702345,9630029,43420199,54311074,1315655,126621538,1118141876,332402452,1627445518,2540895887
rich,bc:1944,802022400 -4556248320 9004690000 5704997400 -7622962175 1184435670 180906625,0.005776677100851187,75000,12,20,11207408,70929,2760265458,16353376,1286504,8418659,35364572,41087156,981028,142790802,957249512,254985336,1405957778,2185701558
rich,bc:1944,802022400 -4556248320 9004690000 5704997400 -7622962175 1184435670 180906625,0.0039592955410328355,75000,13,21,11207408,70929,2760265458,11234409,981541,6977926,28158297,31323833,738118,143322598,815201126,191695190,1199642908,1903263052
rich,bc:1944,802022400 -4556248320 9004690000 5704997400 -7622962175 1184435670 180906625,0.0028140208629838927,75000,14,22,11207408,70929,2760265458,8020911,757994,5652805,22118309,24152798,557568,154799250,688143686,146325198,1043211186,1673974531
rich,bc:1944,802022400 -4556248320 9004690000 5704997400 -7622962175 1184435670 180906625,0.002032626675327276,75000,15,23,11207408,70929,2760265458,5822049,635889,4492169,17197438,20221724,458820,170603396,603589446,126875138,952117122,1480247264
rich,bc:1944,802022400 -4556248320 9004690000 5704997400 -7622962175 1184435670 180906625,0.0014719020752369928,75000,16,24,11207408,70929,2760265458,4233632,543496,3498745,13322738,17290935,402482,185893692,516975528,116059760,870184854,1319335035
rich,bc:1944,802022400 -4556248320 9004690000 5704997400 -7622962175 1184435670 180906625,0.0010706913419111712,75000,17,25,11207408,70929,2760265458,3102653,489782,2693645,10354065,15576587,362536,181531146,421533482,101216358,753178330,1199403499
rich,bc:1944,802022400 -4556248320 9004690000 5704997400 -7622962175 1184435670 180906625,0.0007808437083833846,75000,18,26,11207408,70929,2760265458,2283025,451564,2056221,8139274,14336621,330974,195479290,367063160,93339296,710145890,1112772802
